timestamp,actual_power,ideal_power,deficit,deficit_trend,performance_ratio,cumulative_deficit
2020-01-01,710.0625,3066.5810882953556,2356.5185882953556,-4658.798036567818,0.18906704211070766,2356.5185882953556
2020-01-02,695.21090000002,2840.2894891676447,2145.0785891676246,-4658.818265251792,0.21136573971559316,4501.59717746298
2020-01-03,660.2421999999933,2301.250084276961,1641.0078842769676,-4658.838493935766,0.47109379911964205,6142.605061739947
2020-01-04,626.6328999999678,2857.2050862071187,2230.5721862071514,-4658.85872261974,0.22359432019233008,8373.177247947098
2020-01-05,172.6015000000043,174.9314034479039,2.3299034478995964,-4658.8789513037145,0.33669047555223636,8375.507151394999
2020-01-06,315.73439999998664,717.9164432319125,402.1820432319259,-4658.8991799876885,-0.19182884024296096,8777.689194626924
2020-01-07,670.25,2641.10039799331,1970.8503979933098,-4658.9194086716625,0.25546770693384585,10748.539592620235
2020-01-08,2764.000009999989,2849.250490744117,85.25048074412831,-4658.9396373556365,0.8576504475913875,10833.790073364364
2020-01-09,3090.0001099999645,2547.677421087706,-542.3226889122584,-4658.9598660396105,1.0483052311549141,10291.467384452106
2020-01-10,1704.1406899999856,1833.3583793300386,129.21768933005308,-4658.980094723584,0.8933892443746966,10420.685073782159
2020-01-11,2781.23431,3284.8440534346314,503.6097434346317,-4659.000323407558,0.8270080859045592,10924.29481721679
2020-01-12,3404.1326800000243,3318.3880827004164,-85.74459729960773,-4659.020552091533,1.0757829317675145,10838.550219917182
2020-01-13,3742.2812999999733,2917.087133609595,-825.1941663903781,-4659.040780775507,0.9694398256881163,10013.356053526804
2020-01-14,3427.6484200000123,2680.456116274597,-747.1923037254148,-4659.061009459481,2.1632824936805943,9266.16374980139
2020-01-15,3164.898430000001,1970.4600575119962,-1194.438372488005,-4659.081238143455,0.914006745259876,8071.725377313385
2020-01-16,2705.5077999999776,3226.3495930514346,520.8417930514568,-4659.101466827429,0.846438930558426,8592.567170364842
2020-01-17,2974.039139999979,3278.3553232760364,304.3161832760576,-4659.121695511403,0.9664129817971518,8896.8833536409
2020-01-18,3216.3436200000287,2909.3040174442776,-307.039602555751,-4659.141924195377,1.2382709051291825,8589.843751085149
2020-01-19,3035.2578299999877,2484.6359647810705,-550.6218652189172,-4659.162152879352,0.45023231486068366,8039.221885866232
2020-01-20,1527.2968099999853,1337.1940780474893,-190.102731952496,-4659.182381563326,0.6746580397692237,7849.119153913736
2020-01-21,3793.976600000038,3539.4577722437234,-254.5188277563147,-4659.2026102473,0.8109791554255578,7594.6003261574215
2020-01-22,1929.984300000011,1845.4638131036281,-84.52048689638282,-4659.222838931274,-1.2136978972679535,7510.079839261039
2020-01-23,1629.3905999999697,1924.1421084143446,294.7515084143751,-4659.243067615248,0.9137581792871626,7804.831347675414
2020-01-24,2494.2499000000244,3619.3616358344693,1125.111735834445,-4659.263296299222,0.6609283189148852,8929.94308350986
2020-01-25,3022.1718999999866,3383.2623530802484,361.09045308026174,-4659.283524983196,0.6911240881475623,9291.033536590121
2020-01-26,2477.76569999996,3415.979626356755,938.2139263567951,-4659.30375366717,0.768156498970428,10229.247462946916
2020-01-27,2819.3046999999933,3168.720503816693,349.4158038166997,-4659.323982351145,0.8372220856145963,10578.663266763615
2020-01-28,2938.5624000000244,3390.612259650653,452.04985965062866,-4659.344211035119,0.9628810067798634,11030.713126414244
2020-01-29,3185.5000999999756,3331.390987803033,145.89088780305758,-4659.364439719093,0.6432764785335554,11176.604014217302
2020-01-30,3090.554600000003,2864.285055958176,-226.26954404182706,-4659.384668403067,0.8039539994981001,10950.334470175476
2020-01-31,2133.0043866004953,2625.342111598422,492.3377249979264,-4659.404897087041,0.8593723886344795,11442.672195173402
2020-02-01,752.1862309345818,1921.0709071498654,1168.8846762152837,-4659.425125771015,-0.012192768198936967,12611.556871388686
2020-02-02,3155.365930934619,2982.0791301751715,-173.28680075944726,-4659.445354454989,0.9326011330567993,12438.270070629238
2020-02-03,3223.6903162248113,3436.60341784784,212.91310162302875,-4659.465583138964,1.1596397783616523,12651.183172252267
2020-02-04,4282.293046553977,3830.705512087381,-451.5875344665958,-4659.485811822938,1.06641812633351,12199.595637785671
2020-02-05,3919.363226628913,3419.237292409876,-500.12593421903665,-4659.506040506912,1.6491647378021095,11699.469703566634
2020-02-06,3253.5572600751543,2968.4348192477987,-285.12244082735583,-4659.526269190886,-0.14003959987080333,11414.347262739278
2020-02-07,2300.735865843187,2308.0023686602512,7.266502817063952,-4659.54649787486,-1.4559627076964563,11421.613765556342
2020-02-08,3618.8299416481004,2544.8801757139368,-1073.949765934164,-4659.566726558834,-1.8253190459876372,10347.663999622178
2020-02-09,2669.814441648092,1829.3539431799784,-840.4604984681135,-4659.586955242808,0.19050881742873843,9507.203501154065
2020-02-10,1870.3659398451587,1988.3315916396152,117.9656517944567,-4659.608026788615,28.472151396118555,9625.169152948522
2020-02-11,2639.38941632735,2634.7261188731336,-4.6632974542160355,-4659.627412610756,25.74605331632214,9620.505855494306
2020-02-12,2284.379266034514,3131.6706591676975,847.2913931331839,-4659.64764129473,0.6164110031865881,10467.79724862749
2020-02-13,3393.9399513031926,3003.354994627207,-390.58495667598584,-4659.667869978704,1.8411245738985091,10077.212291951504
2020-02-14,2333.3549174476584,2390.6402629131953,57.28534546553675,-4659.688098662678,0.1083338748376254,10134.49763741704
2020-02-15,985.3171787372914,2534.468478516207,1549.1512997789157,-4659.708327346652,0.6907377512914736,11683.648937195956
2020-02-16,3246.012578737303,3096.3124952005523,-149.70008353675053,-4659.728556030626,1.8315307971514763,11533.948853659205
2020-02-17,3133.231378737305,3046.554895467103,-86.67648327020248,-4659.748784714601,-6.517166575249048,11447.272370389002
2020-02-18,1566.7780787373115,2123.896791369404,557.1187126320924,-4659.769013398575,-0.17989678378540064,12004.391083021095
2020-02-19,1956.856487398913,2691.2806349911716,734.4241475922586,-4659.790084944381,-0.13764110192912507,12738.815230613354
2020-02-20,2425.1507167262794,3254.8982154493942,829.7474987231146,-4659.809470766523,-0.4185119833465803,13568.562729336469
2020-02-21,2564.801578737322,3385.9365234425695,821.1349447052478,-4659.829699450497,-1.3978524411306332,14389.697674041716
2020-02-22,3827.473378737333,3314.0650346380835,-513.4083440992495,-4659.849928134471,-0.7994945808686814,13876.289329942467
