year,cluster,cluster_label,degradation_pct,deficit_kwh,ideal_kwh,actual_kwh,n_days
2020,0,Autumn,0.0,0.0,790.257828290298,790.257828290298,91
2020,1,Spring,0.0,0.0,157242.74083333323,157242.74083333323,92
2020,2,Autumn,0.0,0.0,0.0,0.0,84
2020,3,Winter,0.0,0.0,94811.57928956946,94811.57928956946,92
2021,0,Autumn,-90369.9386530794,-73581.78495656664,81.42285593336442,73663.2078125,91
2021,1,Spring,-4.080505631038586,-6436.555416666655,157739.16270833323,164175.71812499993,92
2021,2,Autumn,0.0,-136369.9804166666,0.0,136369.9804166666,83
2021,3,Winter,0.9114285582247763,858.4189494264231,94183.8986369264,93325.47968749999,92
2022,0,Autumn,-84150.5401599286,-68517.77308156663,81.42285593336442,68599.19593749999,91
2022,1,Spring,11.531019588098182,18188.933749999967,157739.16270833323,139550.2289583333,92
2022,2,Autumn,0.0,-143346.55609374994,0.0,143346.55609374994,83
2022,3,Winter,10.958931182829247,10321.548636926416,94183.8986369264,83862.34999999998,92
2023,0,Autumn,-71737.21935873767,-58410.492769066586,81.42285593336442,58491.91562499994,91
2023,1,Spring,27.831084581601743,43900.51979166662,157739.16270833323,113838.64291666663,92
2023,2,Autumn,0.0,-110668.22999999997,0.0,110668.22999999997,83
2023,3,Winter,8.04555004527651,7577.612699426414,94183.8986369264,86606.28593749998,92
2024,0,Autumn,-2786.972020915243,-22024.26456754303,790.257828290298,22814.52239583333,91
2024,1,Spring,-8.78608178374311,-13815.47580861588,157242.74083333323,171058.21664194914,92
2024,2,Autumn,0.0,-107471.99048007642,0.0,107471.99048007642,84
2024,3,Winter,35.50679988596396,33664.55772706948,94811.57928956946,61147.021562499984,92
2025,0,Autumn,-91927.08806315529,-74849.66047739997,81.42285593336442,74931.08333333333,91
2025,2,Autumn,0.0,-151088.26015624992,0.0,151088.26015624992,83
2025,3,Winter,5.758674861929082,1863.7377754957315,32364.004222863925,30500.266447368194,44
