year_month,PI,meter,month_ts
2020-02,0.0018500624774221285,solar.bun_bg#realenergyintotheload#kwh,2020-02-01
2020-03,0.0018500624774220348,solar.bun_bg#realenergyintotheload#kwh,2020-03-01
2020-04,0.0008785037384761281,solar.bun_bg#realenergyintotheload#kwh,2020-04-01
2020-05,0.0008785037384761281,solar.bun_bg#realenergyintotheload#kwh,2020-05-01
2020-06,5.817368628574542,solar.bun_bg#realenergyintotheload#kwh,2020-06-01
2020-07,0.7624285578044256,solar.bun_bg#realenergyintotheload#kwh,2020-07-01
2020-08,0.9510859145332682,solar.bun_bg#realenergyintotheload#kwh,2020-08-01
2020-09,1.0050323790983333,solar.bun_bg#realenergyintotheload#kwh,2020-09-01
2020-10,0.9244365287138617,solar.bun_bg#realenergyintotheload#kwh,2020-10-01
2020-11,0.405338765042825,solar.bun_bg#realenergyintotheload#kwh,2020-11-01
2020-12,0.7907038447271009,solar.bun_bg#realenergyintotheload#kwh,2020-12-01
2021-01,0.6100955384839645,solar.bun_bg#realenergyintotheload#kwh,2021-01-01
2021-02,1.0527806121565293,solar.bun_bg#realenergyintotheload#kwh,2021-02-01
2021-03,0.4591654158686095,solar.bun_bg#realenergyintotheload#kwh,2021-03-01
2021-04,0.8399713924323577,solar.bun_bg#realenergyintotheload#kwh,2021-04-01
2021-05,1.2139911930819747,solar.bun_bg#realenergyintotheload#kwh,2021-05-01
2021-06,0.7995397563558239,solar.bun_bg#realenergyintotheload#kwh,2021-06-01
2021-07,1.9034840724279724e-06,solar.bun_bg#realenergyintotheload#kwh,2021-07-01
2021-08,0.9713847873634159,solar.bun_bg#realenergyintotheload#kwh,2021-08-01
2021-09,1.0792688311511927,solar.bun_bg#realenergyintotheload#kwh,2021-09-01
2021-10,0.9822280704987116,solar.bun_bg#realenergyintotheload#kwh,2021-10-01
2021-11,0.614914688718749,solar.bun_bg#realenergyintotheload#kwh,2021-11-01
2021-12,0.8864741702480575,solar.bun_bg#realenergyintotheload#kwh,2021-12-01
2022-01,0.8955990264968726,solar.bun_bg#realenergyintotheload#kwh,2022-01-01
2022-02,1.1054328549601466,solar.bun_bg#realenergyintotheload#kwh,2022-02-01
2022-03,0.4280774303756904,solar.bun_bg#realenergyintotheload#kwh,2022-03-01
2022-04,0.776037583597963,solar.bun_bg#realenergyintotheload#kwh,2022-04-01
2022-05,0.84021158692452,solar.bun_bg#realenergyintotheload#kwh,2022-05-01
2022-06,0.7470450067782068,solar.bun_bg#realenergyintotheload#kwh,2022-06-01
2022-07,0.8377897231565443,solar.bun_bg#realenergyintotheload#kwh,2022-07-01
2022-08,0.8636280085476995,solar.bun_bg#realenergyintotheload#kwh,2022-08-01
2022-09,0.7295788921816249,solar.bun_bg#realenergyintotheload#kwh,2022-09-01
2022-10,0.8600280474431294,solar.bun_bg#realenergyintotheload#kwh,2022-10-01
2022-11,0.6930853158025564,solar.bun_bg#realenergyintotheload#kwh,2022-11-01
2022-12,0.6957551848028716,solar.bun_bg#realenergyintotheload#kwh,2022-12-01
2023-01,0.6516871080715471,solar.bun_bg#realenergyintotheload#kwh,2023-01-01
2023-02,1.0777705241736975,solar.bun_bg#realenergyintotheload#kwh,2023-02-01
2023-03,0.4830897007720501,solar.bun_bg#realenergyintotheload#kwh,2023-03-01
2023-04,1.1144956773250736,solar.bun_bg#realenergyintotheload#kwh,2023-04-01
2023-05,0.6764676157420668,solar.bun_bg#realenergyintotheload#kwh,2023-05-01
2023-06,0.7035720759974999,solar.bun_bg#realenergyintotheload#kwh,2023-06-01
2023-07,0.7702841581424547,solar.bun_bg#realenergyintotheload#kwh,2023-07-01
2023-08,0.8623174105956434,solar.bun_bg#realenergyintotheload#kwh,2023-08-01
2023-09,1.2021483642822262,solar.bun_bg#realenergyintotheload#kwh,2023-09-01
2023-10,1.0775458480876563,solar.bun_bg#realenergyintotheload#kwh,2023-10-01
2023-11,0.4561721113300177,solar.bun_bg#realenergyintotheload#kwh,2023-11-01
2023-12,0.24862778114861098,solar.bun_bg#realenergyintotheload#kwh,2023-12-01
2024-01,0.6231206687243203,solar.bun_bg#realenergyintotheload#kwh,2024-01-01
2024-02,1.2113391655663748,solar.bun_bg#realenergyintotheload#kwh,2024-02-01
2024-03,0.7436343741582025,solar.bun_bg#realenergyintotheload#kwh,2024-03-01
2024-04,0.8311873650074321,solar.bun_bg#realenergyintotheload#kwh,2024-04-01
2024-05,1.0718690882599553,solar.bun_bg#realenergyintotheload#kwh,2024-05-01
2024-06,0.8183427331874473,solar.bun_bg#realenergyintotheload#kwh,2024-06-01
2024-08,0.8914817445166582,solar.bun_bg#realenergyintotheload#kwh,2024-08-01
2024-09,0.9431438554319278,solar.bun_bg#realenergyintotheload#kwh,2024-09-01
2024-10,1.0448162966810224,solar.bun_bg#realenergyintotheload#kwh,2024-10-01
2024-11,1.1021493090505023,solar.bun_bg#realenergyintotheload#kwh,2024-11-01
2024-12,1.1214486147601064,solar.bun_bg#realenergyintotheload#kwh,2024-12-01
2025-01,1.1567028491793465,solar.bun_bg#realenergyintotheload#kwh,2025-01-01
2025-02,1.146938675452762,solar.bun_bg#realenergyintotheload#kwh,2025-02-01
2025-03,1.0199944704297235,solar.bun_bg#realenergyintotheload#kwh,2025-03-01
2025-04,0.9756340710736022,solar.bun_bg#realenergyintotheload#kwh,2025-04-01
2025-05,1.0791732028413599,solar.bun_bg#realenergyintotheload#kwh,2025-05-01
2025-06,0.8139839311732336,solar.bun_bg#realenergyintotheload#kwh,2025-06-01
2025-07,0.6820748598769361,solar.bun_bg#realenergyintotheload#kwh,2025-07-01
2025-08,0.9595363972537562,solar.bun_bg#realenergyintotheload#kwh,2025-08-01
2020-04,8.242850746789254e-05,solar.bun_carm1#realenergyintotheload#kwh,2020-04-01
2020-05,8.242850746789254e-05,solar.bun_carm1#realenergyintotheload#kwh,2020-05-01
2020-06,7.4390270776352665,solar.bun_carm1#realenergyintotheload#kwh,2020-06-01
2020-07,0.7707992344616248,solar.bun_carm1#realenergyintotheload#kwh,2020-07-01
2020-08,0.9523237014297017,solar.bun_carm1#realenergyintotheload#kwh,2020-08-01
2020-09,1.0083763533433807,solar.bun_carm1#realenergyintotheload#kwh,2020-09-01
2020-10,0.8785035594727242,solar.bun_carm1#realenergyintotheload#kwh,2020-10-01
2020-11,0.42942818614339434,solar.bun_carm1#realenergyintotheload#kwh,2020-11-01
2020-12,0.9264829117012843,solar.bun_carm1#realenergyintotheload#kwh,2020-12-01
2021-01,0.664837417728429,solar.bun_carm1#realenergyintotheload#kwh,2021-01-01
2021-02,0.9655553215406811,solar.bun_carm1#realenergyintotheload#kwh,2021-02-01
2021-03,0.4949750295251579,solar.bun_carm1#realenergyintotheload#kwh,2021-03-01
2021-04,0.8800945333872621,solar.bun_carm1#realenergyintotheload#kwh,2021-04-01
2021-05,1.212207358057167,solar.bun_carm1#realenergyintotheload#kwh,2021-05-01
2021-06,0.8285026416075442,solar.bun_carm1#realenergyintotheload#kwh,2021-06-01
2021-07,0.8477314339357969,solar.bun_carm1#realenergyintotheload#kwh,2021-07-01
2021-08,0.9598210444370927,solar.bun_carm1#realenergyintotheload#kwh,2021-08-01
2021-09,1.0766003361222534,solar.bun_carm1#realenergyintotheload#kwh,2021-09-01
2021-10,1.0658684966262388,solar.bun_carm1#realenergyintotheload#kwh,2021-10-01
2021-11,0.9198663789532453,solar.bun_carm1#realenergyintotheload#kwh,2021-11-01
2021-12,0.9713580630019409,solar.bun_carm1#realenergyintotheload#kwh,2021-12-01
2022-01,0.9387561630142783,solar.bun_carm1#realenergyintotheload#kwh,2022-01-01
2022-02,1.2044041764963984,solar.bun_carm1#realenergyintotheload#kwh,2022-02-01
2022-03,0.45441457352519066,solar.bun_carm1#realenergyintotheload#kwh,2022-03-01
2022-04,0.8609456006416254,solar.bun_carm1#realenergyintotheload#kwh,2022-04-01
2022-05,0.8781580798836618,solar.bun_carm1#realenergyintotheload#kwh,2022-05-01
2022-06,0.773809101510772,solar.bun_carm1#realenergyintotheload#kwh,2022-06-01
2022-07,0.8550147899217082,solar.bun_carm1#realenergyintotheload#kwh,2022-07-01
2022-08,0.8700950791637546,solar.bun_carm1#realenergyintotheload#kwh,2022-08-01
2022-09,0.7810467884867323,solar.bun_carm1#realenergyintotheload#kwh,2022-09-01
2022-10,0.9116299842064558,solar.bun_carm1#realenergyintotheload#kwh,2022-10-01
2022-11,0.3779676488390581,solar.bun_carm1#realenergyintotheload#kwh,2022-11-01
2022-12,0.4718760171299508,solar.bun_carm1#realenergyintotheload#kwh,2022-12-01
2023-01,0.7652370944302788,solar.bun_carm1#realenergyintotheload#kwh,2023-01-01
2023-02,1.0312020987680628,solar.bun_carm1#realenergyintotheload#kwh,2023-02-01
2023-03,0.5384486842217141,solar.bun_carm1#realenergyintotheload#kwh,2023-03-01
2023-04,1.0759624368550638,solar.bun_carm1#realenergyintotheload#kwh,2023-04-01
2023-05,0.6650757866724635,solar.bun_carm1#realenergyintotheload#kwh,2023-05-01
2023-06,0.6934320821754335,solar.bun_carm1#realenergyintotheload#kwh,2023-06-01
2023-07,0.7901859665072715,solar.bun_carm1#realenergyintotheload#kwh,2023-07-01
2023-08,0.858484390620603,solar.bun_carm1#realenergyintotheload#kwh,2023-08-01
2023-09,1.1918180679913177,solar.bun_carm1#realenergyintotheload#kwh,2023-09-01
2023-10,0.8672232990575612,solar.bun_carm1#realenergyintotheload#kwh,2023-10-01
2023-11,0.4179738558699087,solar.bun_carm1#realenergyintotheload#kwh,2023-11-01
2023-12,0.24763020412917155,solar.bun_carm1#realenergyintotheload#kwh,2023-12-01
2024-01,0.6452129905511808,solar.bun_carm1#realenergyintotheload#kwh,2024-01-01
2024-02,1.1281850743971844,solar.bun_carm1#realenergyintotheload#kwh,2024-02-01
