year,degradation_pct,deficit_kwh,total_ideal_kwh,total_actual_kwh,n_hours_matched
2020,0.0,0.0,252844.57795119303,252844.57795119303,8608
2021,-85.52326559729254,-215522.46434047344,252004.48420119303,467526.9485416665,8584
2022,-72.75796991056963,-183353.34678839022,252004.48420119303,435357.83098958316,8584
2023,-46.663193574004175,-117593.34027797348,252004.48420119303,369597.82447916653,8584
2024,-43.36361452462323,-109642.54812916584,252844.57795119303,362487.12608035887,8608
2025,-709.7149066379383,-224836.19457690418,31679.79036004729,256515.98493695148,5211
