year,season,degradation_pct,deficit_kwh,ideal_kwh,actual_kwh,n_hours
2020,Summer,0.0,0.0,59144.16093749997,59144.16093749997,2008
2020,Autumn,0.0,0.0,3.053292087760866,3.053292087760866,2208
2020,Winter,0.0,0.0,52493.30507577203,52493.30507577203,2208
2020,Spring,0.0,0.0,141204.05864583328,141204.05864583328,2184
2021,Summer,-161.19334810029108,-98299.39651041658,60982.29093749997,159281.68744791654,1984
2021,Autumn,-3212773.8114583907,-98095.36858291223,3.0532920877608656,98098.42187499997,2208
2021,Winter,-32.07073294190239,-16420.49976797797,51200.887107022034,67621.386875,2208
2021,Spring,-1.9362275122895747,-2707.199479166668,139818.25286458328,142525.45234374993,2184
2022,Summer,-154.18977269584477,-94028.45578124996,60982.29093749997,155010.74671874993,1984
2022,Autumn,-3121075.6056521703,-95295.55452041223,3.0532920877608656,95298.60781249998,2208
2022,Winter,-31.823205899252287,-16293.76372631134,51200.887107022034,67494.65083333338,2208
2022,Spring,15.923834537645723,22264.427239583343,139818.25286458328,117553.82562499992,2184
2023,Summer,-69.40565650178434,-42325.15937499999,60982.29093749997,103307.45031249996,1984
2023,Autumn,-2523956.84085786,-77063.77452041215,3.0532920877608656,77066.82781249992,2208
2023,Winter,-11.4394326913424,-5857.091017977995,51200.887107022034,57057.97812500002,2208
2023,Spring,5.473308726599821,7652.684635416641,139818.25286458328,132165.56822916665,2184
2024,Summer,-105.70305481405148,-62517.184855076426,59144.16093749997,121661.34579257641,2008
2024,Autumn,-2437214.501669836,-74415.27754124554,3.053292087760866,74418.3308333333,2208
2024,Winter,42.839952879028395,22488.10715910536,52493.30507577203,30005.197916666668,2208
2024,Spring,3.4006155022035327,4801.807108050774,141204.05864583328,136402.2515377825,2184
2025,Summer,0.0,-99686.75531249997,0.0,99686.75531249997,1240
2025,Autumn,-3671351.227778169,-112097.07655166222,3.0532920877608656,112100.12984374998,2208
2025,Winter,-41.204883838696375,-13052.362712742,31676.73706795953,44729.09978070152,1763
